final thickness, span points
1.006544589173837814e-03,0.000000000000000000e+00
1.006544589173837814e-03,6.304242424242424703e-02
1.006544589173837814e-03,1.260848484848484941e-01
1.006544589173837814e-03,1.891272727272727550e-01
1.006544589173837814e-03,2.521696969696969881e-01
1.006544589173837814e-03,3.152121212121212213e-01
1.006544589173837814e-03,3.782545454545455099e-01
1.006544589173837814e-03,4.412969696969697431e-01
1.006544589173837814e-03,5.043393939393939762e-01
1.006544589173837814e-03,5.673818181818182094e-01
1.006544589173837814e-03,6.304242424242424425e-01
1.006544589173837814e-03,6.934666666666666757e-01
1.006544589173837814e-03,7.565090909090910198e-01
1.006544589173837814e-03,8.195515151515152530e-01
1.006544589173837814e-03,8.825939393939394861e-01
2.940997441217497316e-03,9.456363636363637193e-01
2.951586808943171530e-03,1.008678787878787952e+00
2.955631587495007734e-03,1.071721212121212297e+00
2.962176176668845310e-03,1.134763636363636419e+00
2.968720765842683320e-03,1.197806060606060763e+00
2.972765544394519524e-03,1.260848484848484885e+00
2.979310133568357100e-03,1.323890909090909229e+00
2.979310133568357100e-03,1.386933333333333351e+00
2.985854722742194677e-03,1.449975757575757696e+00
2.989899501294030881e-03,1.513018181818182040e+00
2.996444090467868891e-03,1.576060606060606162e+00
2.996444090467868891e-03,1.639103030303030506e+00
3.000488869019705095e-03,1.702145454545454628e+00
3.007033458193542671e-03,1.765187878787878972e+00
3.007033458193542671e-03,1.828230303030303094e+00
3.007033458193542671e-03,1.891272727272727439e+00
3.013578047367380247e-03,1.954315151515151561e+00
3.013578047367380247e-03,2.017357575757575905e+00
3.013578047367380247e-03,2.080400000000000027e+00
3.013578047367380247e-03,2.143442424242424593e+00
3.017622825919216451e-03,2.206484848484848715e+00
2.861872245893776374e-03,2.269527272727272837e+00
2.851282878168102594e-03,2.332569696969696960e+00
2.844738288994264584e-03,2.395612121212121526e+00
2.827604332094752794e-03,2.458654545454545648e+00
2.810470375195241437e-03,2.521696969696969770e+00
2.795836228917731019e-03,2.584739393939394336e+00
2.778702272018219663e-03,2.647781818181818458e+00
2.761568315118707873e-03,2.710824242424242581e+00
2.737889769045358506e-03,2.773866666666666703e+00
2.716711033594010512e-03,2.836909090909091269e+00
2.693032487520661145e-03,2.899951515151515391e+00
2.671853752069312717e-03,2.962993939393939513e+00
2.644130427444127147e-03,3.026036363636364079e+00
2.616407102818941576e-03,3.089078787878788201e+00
2.588683778193755572e-03,3.152121212121212324e+00
2.560960453568570001e-03,3.215163636363636446e+00
2.526692539769546855e-03,3.278206060606061012e+00
2.498969215144361284e-03,3.341248484848485134e+00
2.458156712171500127e-03,3.404290909090909256e+00
2.426388608994478353e-03,3.467333333333333378e+00
2.385576106021617196e-03,3.530375757575757945e+00
2.347263413670756978e-03,3.593418181818182067e+00
2.302406132146059617e-03,3.656460606060606189e+00
2.264093439795200266e-03,3.719503030303030755e+00
2.219236158270502905e-03,3.782545454545454877e+00
2.167834287571967535e-03,3.845587878787878999e+00
2.122977006047270174e-03,3.908630303030303121e+00
2.074074945970736609e-03,3.971672727272727688e+00
2.018628296720365034e-03,4.034715151515151810e+00
1.967226426021830097e-03,4.097757575757576376e+00
1.911779776771458522e-03,4.160800000000000054e+00
1.856333127521087164e-03,4.223842424242424620e+00
1.804931256822552010e-03,4.286884848484849186e+00
1.749484607572180652e-03,4.349927272727272864e+00
1.694037958321809294e-03,4.412969696969697431e+00
1.638591309071437720e-03,4.476012121212121109e+00
1.587189438372902566e-03,4.539054545454545675e+00
1.535787567674367412e-03,4.602096969696970241e+00
1.493430096771671640e-03,4.665139393939393919e+00
1.452617593798810267e-03,4.728181818181818485e+00
1.424894269173624696e-03,4.791224242424243052e+00
1.403715533722276702e-03,4.854266666666666730e+00
1.397170944548438909e-03,4.917309090909091296e+00
1.403715533722276702e-03,4.980351515151515862e+00
1.006544589173837814e-03,5.043393939393939540e+00
1.006544589173837814e-03,5.106436363636364106e+00
1.006544589173837814e-03,5.169478787878788673e+00
1.006544589173837814e-03,5.232521212121212351e+00
1.006544589173837814e-03,5.295563636363636917e+00
1.006544589173837814e-03,5.358606060606060595e+00
1.006544589173837814e-03,5.421648484848485161e+00
1.006544589173837814e-03,5.484690909090909727e+00
1.006544589173837814e-03,5.547733333333333405e+00
1.006544589173837814e-03,5.610775757575757972e+00
1.006544589173837814e-03,5.673818181818182538e+00
1.006544589173837814e-03,5.736860606060606216e+00
1.006544589173837814e-03,5.799903030303030782e+00
1.006544589173837814e-03,5.862945454545455348e+00
1.006544589173837814e-03,5.925987878787879026e+00
1.006544589173837814e-03,5.989030303030303592e+00
1.006544589173837814e-03,6.052072727272728159e+00
1.006544589173837814e-03,6.115115151515151837e+00
1.006544589173837814e-03,6.178157575757576403e+00
1.006544589173837814e-03,6.241200000000000081e+00
